Machine,Period,Items
2,11,"Item_5, Item_6, Item_33"
2,12,"Item_5, Item_6, Item_33"
2,13,"Item_5, Item_6, Item_33"
2,14,"Item_5, Item_6, Item_33"
2,15,"Item_5, Item_6, Item_33"
2,16,"Item_5, Item_6, Item_33"
3,1,"Item_1, Item_4, Item_12, Item_19"
3,2,"Item_1, Item_4, Item_7, Item_12"
3,3,"Item_1, Item_4, Item_7, Item_12"
3,4,"Item_1, Item_4, Item_7, Item_12"
3,5,"Item_1, Item_4, Item_7, Item_12"
3,6,"Item_1, Item_4, Item_7, Item_12"
3,7,"Item_1, Item_4, Item_7, Item_12"
3,8,"Item_1, Item_4, Item_7, Item_12"
3,9,"Item_1, Item_4, Item_7, Item_12"
3,10,"Item_1, Item_4, Item_7, Item_12"
3,11,"Item_1, Item_4, Item_7, Item_12"
3,12,"Item_1, Item_4, Item_7, Item_12"
3,13,"Item_1, Item_4, Item_7, Item_12"
3,14,"Item_1, Item_4, Item_7, Item_12"
3,15,"Item_1, Item_4, Item_7, Item_12"
3,16,"Item_1, Item_4, Item_7, Item_12"
5,1,Item_2
5,2,Item_30
5,3,Item_30
5,4,Item_30
5,5,Item_30
5,6,Item_30
5,7,Item_30
5,8,Item_30
5,9,Item_30
5,10,Item_30
5,11,Item_30
5,12,Item_30
5,13,Item_30
5,14,Item_30
5,15,Item_30
5,16,Item_30
6,1,"Item_3, Item_29"
6,2,"Item_3, Item_29"
6,3,"Item_3, Item_29"
6,4,"Item_3, Item_29"
6,5,"Item_3, Item_29"
6,6,"Item_3, Item_29"
6,7,"Item_3, Item_29"
6,8,"Item_3, Item_29"
6,9,"Item_3, Item_29"
6,10,"Item_3, Item_29"
6,11,"Item_3, Item_29"
6,12,"Item_3, Item_29"
6,13,"Item_3, Item_29"
6,14,"Item_3, Item_29"
6,15,"Item_3, Item_29"
6,16,"Item_3, Item_29"
